name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;382;0;406;3159;1382;3159;904;0
header;260;231;260;270;1884;270;1884;231
B;445;1059;445;1085;463;1085;463;1059
B;929;1064;929;1082;943;1082;943;1064
A;606;1123;606;1129;612;1129;612;1123
C;1070;1571;1070;1600;1092;1600;1092;1571
A;1104;2037;1104;2053;1112;2053;1112;2037
B;728;2079;728;2095;737;2095;737;2079
A;702;2150;702;2150;702;2150;702;2150
D;1066;2234;1066;2261;1087;2261;1087;2234
C;852;2887;852;2914;877;2914;877;2887
A;1059;2938;1059;2940;1061;2940;1061;2938
