name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;558;0;558;3163;1097;3163;1097;0
header;252;184;252;217;1892;217;1892;184
A;1058;252;1058;280;1081;280;1081;252
A;1084;326;1084;329;1088;329;1088;326
A;841;446;841;450;846;450;846;446
B;872;528;872;554;897;554;897;528
B;845;582;845;601;858;601;858;582
D;926;711;926;737;958;737;958;711
B;1060;932;1060;961;1083;961;1083;932
A;1085;1183;1085;1183;1085;1183;1085;1183
C;1059;1610;1059;1637;1078;1637;1078;1610
B;667;1726;667;1742;675;1742;675;1726
A;1053;1952;1053;1954;1053;1954;1053;1952
D;735;1994;735;2020;755;2020;755;1994
D;1057;2285;1057;2315;1082;2315;1082;2285
B;1024;2791;1024;2817;1040;2817;1040;2791
